,Station,Cluster Label,EM Label,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0
291,31609,2,2,15.0,4.0,1.0,0.0,1.0,0.0,12.0,43.0,94.0,55.0,41.0,48.0,56.0,64.0,47.0,83.0,74.0,72.0,88.0,53.0,62.0,54.0,37.0,49.0,14.0,11.0,3.0,2.0,1.0,2.0,4.0,13.0,50.0,31.0,38.0,42.0,65.0,60.0,82.0,76.0,106.0,160.0,150.0,103.0,80.0,56.0,48.0,26.0
292,31610,4,2,6.0,1.0,2.0,2.0,1.0,1.0,20.0,94.0,110.0,66.0,71.0,90.0,83.0,84.0,72.0,69.0,79.0,122.0,105.0,107.0,56.0,38.0,24.0,12.0,5.0,2.0,3.0,1.0,0.0,1.0,29.0,38.0,68.0,61.0,91.0,92.0,99.0,85.0,88.0,63.0,85.0,132.0,125.0,101.0,48.0,32.0,35.0,13.0
293,31611,2,2,15.0,10.0,7.0,2.0,1.0,7.0,52.0,110.0,191.0,113.0,71.0,53.0,60.0,55.0,48.0,38.0,44.0,51.0,61.0,60.0,35.0,54.0,43.0,24.0,10.0,7.0,9.0,2.0,1.0,6.0,10.0,26.0,39.0,27.0,41.0,44.0,44.0,46.0,44.0,61.0,97.0,160.0,208.0,164.0,106.0,73.0,40.0,21.0
294,31612,2,2,0.0,0.0,2.0,0.0,0.0,12.0,49.0,104.0,235.0,96.0,50.0,53.0,43.0,48.0,54.0,48.0,62.0,71.0,76.0,54.0,49.0,17.0,8.0,7.0,9.0,5.0,2.0,3.0,3.0,1.0,6.0,19.0,29.0,46.0,40.0,37.0,22.0,47.0,44.0,43.0,70.0,122.0,150.0,99.0,82.0,63.0,58.0,22.0
295,31613,4,2,13.0,10.0,2.0,3.0,0.0,35.0,35.0,92.0,199.0,151.0,115.0,141.0,179.0,182.0,169.0,132.0,204.0,322.0,339.0,226.0,130.0,122.0,64.0,43.0,12.0,5.0,0.0,0.0,0.0,26.0,49.0,186.0,269.0,165.0,134.0,154.0,166.0,139.0,125.0,143.0,181.0,353.0,321.0,214.0,125.0,72.0,56.0,21.0
296,31614,3,2,7.0,7.0,10.0,4.0,7.0,16.0,46.0,116.0,154.0,66.0,20.0,19.0,20.0,33.0,21.0,11.0,30.0,49.0,41.0,45.0,32.0,28.0,20.0,18.0,15.0,11.0,2.0,3.0,2.0,7.0,6.0,7.0,23.0,20.0,16.0,25.0,26.0,35.0,28.0,33.0,63.0,186.0,161.0,95.0,60.0,43.0,39.0,15.0
297,31615,2,2,14.0,5.0,3.0,0.0,1.0,5.0,53.0,187.0,262.0,90.0,67.0,91.0,96.0,106.0,90.0,106.0,110.0,189.0,174.0,149.0,113.0,73.0,35.0,9.0,9.0,8.0,3.0,0.0,4.0,5.0,6.0,44.0,58.0,84.0,73.0,97.0,132.0,125.0,105.0,132.0,183.0,391.0,256.0,212.0,149.0,104.0,53.0,29.0
298,31616,2,2,8.0,2.0,0.0,1.0,0.0,9.0,40.0,103.0,232.0,88.0,53.0,51.0,59.0,61.0,57.0,55.0,84.0,116.0,163.0,130.0,80.0,49.0,43.0,24.0,14.0,5.0,5.0,3.0,0.0,4.0,9.0,43.0,71.0,57.0,49.0,51.0,64.0,67.0,66.0,82.0,106.0,247.0,229.0,159.0,93.0,70.0,40.0,43.0
299,31617,2,0,1.0,0.0,0.0,20.0,3.0,27.0,11.0,33.0,87.0,56.0,28.0,32.0,29.0,18.0,16.0,20.0,11.0,18.0,25.0,31.0,18.0,10.0,14.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,4.0,19.0,18.0,17.0,23.0,24.0,38.0,20.0,38.0,36.0,57.0,76.0,79.0,35.0,24.0,25.0,11.0
300,31618,2,2,2.0,2.0,0.0,9.0,6.0,26.0,48.0,79.0,97.0,60.0,51.0,52.0,40.0,45.0,53.0,61.0,73.0,80.0,118.0,96.0,46.0,39.0,15.0,17.0,10.0,12.0,5.0,0.0,0.0,0.0,9.0,15.0,69.0,34.0,32.0,36.0,50.0,46.0,56.0,56.0,64.0,120.0,121.0,94.0,63.0,51.0,35.0,16.0
301,31619,2,2,0.0,1.0,0.0,1.0,5.0,13.0,72.0,280.0,223.0,84.0,85.0,64.0,61.0,62.0,56.0,54.0,71.0,98.0,82.0,83.0,48.0,31.0,13.0,9.0,9.0,7.0,0.0,2.0,0.0,0.0,2.0,14.0,21.0,22.0,23.0,58.0,51.0,56.0,44.0,52.0,114.0,201.0,224.0,130.0,81.0,68.0,44.0,32.0
302,31620,4,2,7.0,0.0,2.0,0.0,1.0,2.0,10.0,29.0,79.0,46.0,33.0,51.0,60.0,49.0,47.0,80.0,115.0,212.0,118.0,114.0,52.0,44.0,24.0,25.0,5.0,4.0,3.0,0.0,0.0,21.0,37.0,91.0,174.0,88.0,64.0,58.0,68.0,95.0,62.0,64.0,75.0,120.0,122.0,64.0,25.0,24.0,15.0,18.0
303,31621,0,2,6.0,6.0,2.0,0.0,0.0,2.0,12.0,18.0,52.0,42.0,30.0,34.0,51.0,49.0,34.0,59.0,97.0,138.0,37.0,16.0,16.0,10.0,7.0,0.0,13.0,1.0,0.0,1.0,1.0,20.0,74.0,99.0,127.0,49.0,17.0,19.0,32.0,36.0,36.0,24.0,41.0,45.0,17.0,9.0,16.0,9.0,11.0,7.0
304,31622,3,0,0.0,2.0,0.0,1.0,0.0,38.0,66.0,227.0,280.0,74.0,44.0,36.0,47.0,37.0,38.0,38.0,43.0,57.0,60.0,42.0,15.0,16.0,8.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,8.0,13.0,16.0,16.0,32.0,23.0,36.0,49.0,35.0,98.0,216.0,190.0,100.0,76.0,49.0,37.0,20.0
305,31623,4,2,18.0,14.0,7.0,2.0,4.0,67.0,342.0,727.0,862.0,264.0,119.0,125.0,149.0,181.0,160.0,189.0,326.0,830.0,690.0,358.0,203.0,114.0,102.0,49.0,7.0,8.0,5.0,7.0,10.0,53.0,273.0,680.0,983.0,369.0,150.0,158.0,155.0,191.0,172.0,466.0,825.0,710.0,390.0,180.0,115.0,67.0,75.0,32.0
306,31624,4,2,19.0,11.0,2.0,3.0,1.0,29.0,91.0,179.0,269.0,152.0,78.0,105.0,113.0,69.0,80.0,152.0,210.0,454.0,227.0,102.0,51.0,36.0,41.0,23.0,5.0,3.0,2.0,0.0,3.0,14.0,63.0,237.0,380.0,210.0,102.0,87.0,87.0,104.0,106.0,197.0,224.0,334.0,139.0,67.0,45.0,26.0,35.0,11.0
307,31625,4,2,0.0,0.0,0.0,0.0,1.0,6.0,40.0,108.0,145.0,54.0,40.0,50.0,65.0,57.0,31.0,33.0,90.0,83.0,117.0,113.0,61.0,27.0,14.0,3.0,5.0,0.0,3.0,1.0,0.0,37.0,56.0,50.0,107.0,55.0,31.0,34.0,46.0,51.0,41.0,50.0,55.0,128.0,156.0,70.0,54.0,21.0,27.0,13.0
308,31626,2,0,2.0,1.0,0.0,0.0,0.0,42.0,46.0,109.0,145.0,34.0,36.0,40.0,36.0,25.0,34.0,28.0,34.0,45.0,46.0,28.0,20.0,10.0,12.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,8.0,33.0,12.0,7.0,20.0,25.0,19.0,31.0,23.0,43.0,68.0,133.0,96.0,58.0,24.0,30.0,33.0,11.0
309,31627,4,2,12.0,5.0,2.0,0.0,0.0,9.0,44.0,81.0,139.0,80.0,51.0,85.0,98.0,69.0,78.0,74.0,134.0,178.0,194.0,93.0,97.0,34.0,26.0,16.0,17.0,17.0,13.0,3.0,7.0,20.0,38.0,149.0,303.0,143.0,62.0,75.0,70.0,77.0,81.0,89.0,114.0,198.0,200.0,146.0,109.0,71.0,67.0,32.0
310,31628,4,2,6.0,4.0,1.0,1.0,0.0,33.0,71.0,221.0,229.0,85.0,69.0,61.0,71.0,79.0,67.0,127.0,177.0,253.0,182.0,96.0,77.0,57.0,73.0,18.0,18.0,11.0,1.0,1.0,11.0,2.0,44.0,117.0,177.0,146.0,53.0,69.0,107.0,95.0,88.0,97.0,213.0,270.0,268.0,151.0,84.0,54.0,57.0,31.0
311,31629,2,2,3.0,1.0,2.0,5.0,1.0,8.0,45.0,93.0,98.0,33.0,44.0,31.0,36.0,28.0,14.0,17.0,18.0,48.0,68.0,57.0,39.0,15.0,8.0,7.0,7.0,2.0,5.0,0.0,1.0,1.0,6.0,13.0,16.0,19.0,24.0,28.0,17.0,18.0,25.0,20.0,41.0,86.0,108.0,73.0,37.0,47.0,19.0,13.0
312,31630,2,2,1.0,0.0,0.0,0.0,1.0,6.0,36.0,78.0,159.0,37.0,21.0,20.0,23.0,25.0,12.0,32.0,33.0,59.0,83.0,42.0,24.0,16.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,8.0,22.0,12.0,21.0,29.0,27.0,27.0,33.0,53.0,105.0,128.0,56.0,41.0,28.0,22.0,6.0
313,31631,2,0,2.0,0.0,1.0,0.0,0.0,34.0,79.0,111.0,120.0,38.0,37.0,39.0,50.0,33.0,18.0,33.0,31.0,33.0,65.0,49.0,39.0,21.0,8.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,26.0,19.0,12.0,10.0,24.0,25.0,41.0,28.0,32.0,62.0,163.0,109.0,68.0,58.0,47.0,27.0,24.0
314,31632,3,2,0.0,2.0,0.0,0.0,2.0,11.0,55.0,91.0,172.0,45.0,26.0,25.0,27.0,23.0,26.0,14.0,34.0,35.0,28.0,17.0,7.0,10.0,2.0,2.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,17.0,1.0,8.0,6.0,36.0,32.0,25.0,33.0,28.0,70.0,109.0,112.0,67.0,38.0,20.0,28.0,15.0
315,31633,0,2,1.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,31.0,49.0,24.0,37.0,32.0,35.0,61.0,76.0,128.0,180.0,58.0,21.0,19.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,68.0,122.0,58.0,21.0,26.0,44.0,32.0,26.0,52.0,84.0,54.0,11.0,8.0,9.0,5.0,2.0,4.0
316,31634,4,2,6.0,3.0,1.0,0.0,0.0,1.0,12.0,28.0,38.0,32.0,35.0,53.0,69.0,85.0,70.0,121.0,186.0,142.0,142.0,92.0,72.0,62.0,82.0,32.0,8.0,1.0,0.0,0.0,3.0,16.0,126.0,141.0,136.0,64.0,52.0,59.0,99.0,89.0,79.0,75.0,76.0,131.0,223.0,116.0,80.0,29.0,34.0,8.0
317,31635,0,2,0.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,17.0,14.0,14.0,21.0,11.0,20.0,12.0,45.0,75.0,66.0,24.0,15.0,16.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,25.0,65.0,62.0,18.0,3.0,3.0,14.0,12.0,14.0,25.0,15.0,25.0,37.0,16.0,16.0,6.0,7.0,0.0
318,31636,2,0,9.0,2.0,1.0,3.0,0.0,23.0,40.0,120.0,175.0,38.0,27.0,42.0,27.0,29.0,42.0,30.0,46.0,41.0,52.0,55.0,36.0,18.0,7.0,12.0,13.0,10.0,5.0,7.0,4.0,2.0,13.0,12.0,21.0,9.0,19.0,20.0,10.0,31.0,34.0,52.0,46.0,104.0,99.0,98.0,64.0,56.0,29.0,33.0
319,31637,0,2,4.0,1.0,0.0,0.0,0.0,4.0,8.0,61.0,79.0,26.0,24.0,36.0,56.0,47.0,22.0,45.0,120.0,192.0,71.0,28.0,13.0,11.0,19.0,11.0,3.0,1.0,2.0,9.0,2.0,7.0,66.0,67.0,181.0,127.0,28.0,19.0,42.0,48.0,28.0,46.0,55.0,76.0,39.0,14.0,18.0,9.0,3.0,5.0
320,31638,4,2,2.0,1.0,0.0,0.0,0.0,3.0,19.0,78.0,62.0,51.0,58.0,53.0,52.0,70.0,50.0,74.0,88.0,147.0,122.0,79.0,59.0,36.0,26.0,14.0,8.0,2.0,0.0,0.0,1.0,0.0,19.0,59.0,127.0,76.0,59.0,40.0,57.0,51.0,56.0,66.0,69.0,122.0,95.0,77.0,90.0,40.0,34.0,22.0
321,31639,4,2,10.0,0.0,1.0,2.0,0.0,1.0,51.0,90.0,136.0,107.0,68.0,66.0,59.0,52.0,43.0,52.0,57.0,133.0,121.0,75.0,47.0,23.0,9.0,14.0,8.0,8.0,8.0,1.0,1.0,8.0,24.0,64.0,146.0,78.0,41.0,33.0,61.0,51.0,22.0,38.0,88.0,176.0,148.0,110.0,79.0,73.0,47.0,24.0
322,31640,2,2,3.0,3.0,0.0,0.0,0.0,28.0,74.0,177.0,140.0,59.0,58.0,53.0,50.0,46.0,37.0,41.0,35.0,50.0,63.0,32.0,37.0,15.0,4.0,3.0,7.0,8.0,3.0,3.0,1.0,0.0,2.0,13.0,7.0,23.0,15.0,30.0,38.0,35.0,51.0,45.0,77.0,141.0,115.0,75.0,51.0,45.0,26.0,18.0
323,31641,4,2,4.0,2.0,0.0,0.0,2.0,10.0,48.0,81.0,129.0,128.0,49.0,67.0,70.0,68.0,72.0,63.0,97.0,224.0,181.0,101.0,43.0,53.0,31.0,8.0,3.0,5.0,0.0,2.0,0.0,5.0,9.0,61.0,150.0,125.0,69.0,55.0,61.0,69.0,60.0,77.0,145.0,229.0,132.0,77.0,55.0,38.0,39.0,18.0
324,31642,2,2,2.0,0.0,1.0,1.0,1.0,3.0,14.0,41.0,89.0,64.0,22.0,17.0,13.0,22.0,16.0,12.0,16.0,26.0,25.0,20.0,13.0,8.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,7.0,18.0,17.0,8.0,17.0,10.0,25.0,14.0,33.0,36.0,51.0,47.0,25.0,28.0,11.0,16.0,7.0
325,31643,4,2,3.0,2.0,0.0,1.0,1.0,6.0,38.0,85.0,106.0,42.0,45.0,46.0,74.0,84.0,56.0,75.0,143.0,208.0,141.0,71.0,46.0,22.0,26.0,11.0,4.0,4.0,1.0,2.0,2.0,9.0,52.0,85.0,240.0,65.0,44.0,33.0,41.0,51.0,56.0,64.0,85.0,132.0,105.0,51.0,54.0,34.0,36.0,18.0
326,31644,2,2,4.0,1.0,0.0,0.0,0.0,2.0,18.0,49.0,80.0,38.0,20.0,18.0,27.0,28.0,22.0,17.0,20.0,37.0,44.0,35.0,18.0,14.0,1.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,9.0,32.0,30.0,19.0,18.0,16.0,15.0,26.0,14.0,22.0,15.0,47.0,41.0,52.0,32.0,31.0,27.0,6.0
327,31645,3,2,1.0,1.0,0.0,0.0,0.0,0.0,16.0,56.0,155.0,79.0,36.0,38.0,24.0,28.0,14.0,14.0,13.0,29.0,54.0,28.0,20.0,9.0,3.0,5.0,10.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,12.0,14.0,17.0,23.0,20.0,31.0,23.0,36.0,99.0,150.0,91.0,60.0,33.0,25.0,18.0
328,31646,4,2,10.0,5.0,2.0,0.0,0.0,2.0,4.0,38.0,52.0,38.0,52.0,53.0,67.0,53.0,52.0,80.0,97.0,163.0,102.0,73.0,86.0,52.0,42.0,42.0,8.0,2.0,3.0,2.0,1.0,3.0,10.0,22.0,103.0,48.0,34.0,61.0,80.0,81.0,67.0,71.0,91.0,170.0,155.0,126.0,83.0,37.0,48.0,17.0
329,31647,2,2,3.0,1.0,2.0,0.0,2.0,6.0,34.0,126.0,211.0,56.0,29.0,39.0,34.0,43.0,30.0,44.0,52.0,60.0,90.0,55.0,40.0,14.0,12.0,5.0,17.0,2.0,7.0,1.0,1.0,1.0,2.0,11.0,17.0,13.0,20.0,30.0,30.0,26.0,24.0,36.0,35.0,103.0,133.0,105.0,75.0,63.0,61.0,30.0
330,31648,2,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,11.0,6.0,10.0,5.0,8.0,10.0,10.0,13.0,25.0,11.0,19.0,10.0,46.0,60.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,9.0,8.0,6.0,8.0,8.0,17.0,8.0,33.0,37.0,61.0,127.0,54.0,20.0,11.0,19.0,6.0
331,31703,4,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,7.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
332,31706,3,0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,17.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0
333,31707,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,2.0,2.0,3.0,10.0,6.0,5.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0
334,31708,4,1,0.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,9.0,17.0,8.0,9.0,13.0,9.0,15.0,9.0,19.0,8.0,15.0,10.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,15.0,7.0,11.0,8.0,4.0,13.0,12.0,12.0,9.0,15.0,13.0,23.0,12.0,2.0,3.0,2.0,2.0
335,31712,3,2,0.0,0.0,0.0,0.0,0.0,1.0,7.0,34.0,86.0,29.0,12.0,19.0,11.0,5.0,11.0,7.0,7.0,12.0,18.0,7.0,7.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,10.0,3.0,6.0,8.0,12.0,10.0,10.0,12.0,21.0,57.0,73.0,54.0,22.0,14.0,14.0,8.0
336,31801,4,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,27.0,16.0,6.0,5.0,6.0,1.0,2.0,7.0,12.0,34.0,21.0,6.0,15.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,13.0,9.0,1.0,3.0,7.0,6.0,4.0,8.0,22.0,22.0,14.0,7.0,6.0,4.0,1.0,0.0
337,31802,0,2,0.0,0.0,0.0,0.0,0.0,2.0,10.0,6.0,10.0,2.0,5.0,7.0,9.0,5.0,3.0,6.0,19.0,27.0,11.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,26.0,2.0,2.0,5.0,4.0,5.0,11.0,3.0,14.0,8.0,7.0,7.0,3.0,2.0,2.0
338,31803,2,0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,27.0,2.0,1.0,2.0,1.0,5.0,2.0,4.0,6.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,5.0,5.0,2.0,3.0,2.0,10.0,17.0,10.0,0.0,8.0,0.0,0.0,1.0
339,31804,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,5.0,17.0,3.0,0.0,3.0,1.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,18.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0
340,31805,2,0,0.0,0.0,0.0,0.0,2.0,5.0,17.0,15.0,6.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,7.0,1.0,2.0,4.0,2.0,8.0,15.0,17.0,10.0,12.0,5.0,0.0,2.0
341,31807,2,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,22.0,7.0,3.0,1.0,4.0,5.0,7.0,6.0,10.0,6.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,5.0,6.0,2.0,2.0,2.0,1.0,3.0,7.0,9.0,20.0,13.0,13.0,1.0,3.0,1.0
342,31812,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,11.0,5.0,4.0,5.0,0.0,2.0,5.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,6.0,9.0,4.0,0.0,2.0,0.0,0.0
343,31820,4,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,9.0,15.0,6.0,6.0,5.0,7.0,9.0,3.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,15.0,3.0,4.0,4.0,8.0,3.0,10.0,2.0,7.0,19.0,5.0,0.0,1.0,0.0,0.0
344,31900,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,6.0,8.0,5.0,4.0,5.0,4.0,2.0,8.0,1.0,6.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,8.0,14.0,6.0,5.0,7.0,6.0,2.0,1.0
345,31901,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,10.0,4.0,5.0,3.0,0.0,0.0,1.0
346,31902,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,21.0,17.0,4.0,10.0,3.0,9.0,6.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,7.0,3.0,3.0,2.0,4.0,12.0,3.0,13.0,19.0,5.0,13.0,14.0,1.0,1.0
347,31903,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,12.0,7.0,6.0,8.0,4.0,3.0,6.0,5.0,18.0,14.0,5.0,10.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,8.0,5.0,3.0,13.0,4.0,7.0,10.0,5.0,17.0,17.0,17.0,8.0,4.0,0.0,1.0
348,31904,4,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,7.0,3.0,3.0,0.0,4.0,8.0,9.0,14.0,30.0,17.0,5.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,4.0,3.0,2.0,3.0,3.0,5.0,6.0,5.0,3.0,12.0,38.0,11.0,4.0,3.0,0.0,0.0
349,31905,3,0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,44.0,36.0,5.0,2.0,5.0,6.0,4.0,6.0,15.0,7.0,8.0,11.0,4.0,11.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,5.0,19.0,6.0,8.0,44.0,30.0,12.0,20.0,9.0,12.0,3.0
